ATTN-CIV1-1,ATTN-CIV1-2,ATTN-CIV1-3,ATTN-CIV1-4,ATTN-CIV1-5,ATTN-CIV1-6,ATTN-CIV1-7,DEC-RATE-CIV1,DEC-CIV1-1,WHY-DEC-CIV1,DEC-CIV1-2,"COMPENSATORY-CIV1
",ATTN-CIV3-1,ATTN-CIV3-2,ATTN-CIV3-3,ATTN-CIV3-3,ATTN-CIV3-2,ATTN-CIV3-4,ATTN-CIV3-4,DEC-RATE-CIV3,DEC-CIV3-1,WHY-DEC-CIV3,DEC-CIV3-2,"COMPENSATORY-CIV3
",ATTN-CRIM-1,ATTN-CRIM-2,ATTN-CRIM-3,ATTN-CRIM-4,ATTN-CRIM-5,ATTN-CRIM-6,ATTN-CRIM-7,DEC-RATE-CRIM,DEC-CRIM-1,WHY-DEC-CRIM,DEC-CRIM-2,"COMPENSATORY-CRIM
",VICCRED,VICBELIEVE,VICHONEST,VICBLAME,VICRESP,VICDISTRESS,VICFEAR,VICANNOY,VICFLATTER,VICSYMP,VICANGER,VICGREED,VICLIKE,VICSELFISH,PERPCRED,PERPBELIEVE,PERPHONEST,PERPBLAME,PERPRESP,PERPDANGER,PERPDISTRESS,PERPFEAR,PERPSYMP,PERPANGER,GENDER,AGE,CITIZEN,RACE,JURYSERVE,TIMESSERVE,JURYCRIME,JURYOUTCOME,JURYUNANIMOUS,,
1,2,5,1,1,3,2,15,1,"Clearly, his actions demonstrated enough to raise serious concerns to the plaintiff.  If it was enough to make her file a lawsuit, she was scared.  Period.  She was scared and she didn't know what else to do.  She went to security, they were of no help.  She asked her friend to tell him to stop this behavior, that was of no help.  What other recourse would she have?  In my opinion she did the right thing in filing the lawsuit.  ",1,"$10,000 ",,,,,,,,,,,,,,,,,,,,,,,,,9,10,10,1,2,10,10,9,2,9,1,1,8,1,2,2,3,10,10,9,3,2,1,8,1,44,1,3,2,,,,,A187JK1IGZGHNQ,civ1
1,1,5,1,1,3,1,1,2,I found that there was just not enough proof that there was any ill intent behind Mr jones actions. Mr jones did seem a bit obsessive but didnâ€™t seem dangerous. ,2,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,9,6,6,7,10,1,4,2,6,4,6,10,9,9,10,8,1,1,1,8,1,2,32,1,6,1,2,A traffic accident ,Guilty,Guilty,A2M5I73ST0IRPE,civ1
1,2,5,1,1,3,1,15,1,I was leaning somewhat towards the plaintiff due to her detailed and forthcoming testimony and the testimony of her roommate describing confronting the defendant directly. I was swayed even further in her favor by the defendant admitting in his testimony to many of the actions the plaintiff described as troubling her. The addition of the security officer who admitted to not taking her concerns seriously because the defendant didn't have a criminal history didn't help matters.,1,"$10,000 ",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,9,9,8,2,9,1,1,7,1,3,4,4,10,10,7,6,6,1,7,1,24,1,3,2,,,,,A3KEMDGKRJS7H2,civ1
1,2,5,1,1,3,1,9,1,"The defendants communications and showing up to her place of work, after being told to stay away from her roommate, crossed a line.",1,3000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,8,7,10,1,9,1,1,8,1,2,2,3,10,10,7,7,6,2,7,1,39,1,3,2,,,,,A1XAOEDK0Y2KBT,civ1
1,2,5,1,1,3,1,9,1,The defendant described that he was pushing too far to be in touch with the plaintiff in ways that seemed to cause her concern. The security officer did confirm that something was going on even if they didn't believe it was a serious concern.,1,"$10,000 ",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,2,1,8,8,10,1,10,1,1,10,1,9,9,8,9,10,7,3,3,7,8,1,38,1,4,2,,,,,A2LV5432PV1S39,civ1
1,2,5,1,1,3,1,2,2,"I believe Ms. Klein was in fact being stalked. Mr. Jones admitting that he kept pursuing Ms. Klein even after she asked him to stop, showing up where she was at and saying he just wanted to hang out because they had a good time dating. The plantiff was overstepping boundaries.",2,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,2,2,7,7,8,5,8,1,3,5,5,7,5,5,8,9,3,4,2,2,6,2,31,1,"1,2",2,,,,,A1VI35LEV3R4BZ,civ1
1,2,5,1,1,3,1,8,1,"I found in favor of the plaintiff because of the evidence against the defendant. All the emails, the witness that told him to leave her alone. The plaintiff tried to get help from campus security. The defendant caused her to haves anxiety and feel unsafe. ",1,"10,000",,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,1,1,9,8,10,1,9,2,1,7,2,5,4,6,9,10,4,3,3,6,5,2,42,1,3,1,1,rape and sodimy of a minor,he took a plee virdict of guilty,N/A the guy to a plea deal,AS2MFSWNC5CQI,civ1
1,2,5,1,1,3,1,7,1,"While I sympathize with the defendant when it comes to having a hard time letting go of someone they really liked, he was asked directly to stop multiple times and didn't.  He acknowledged that.  At that point, the reasons he was pursuing her don't matter. ",1,1000,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,3,3,5,5,7,5,5,2,3,5,4,6,5,5,8,8,5,4,3,3,3,1,48,1,3,1,1,Rape,guilty,the verdict was unanimous,A1JZI9YO5DGXJC,civ1
1,1,5,1,1,1,1,6,1,I think thatbpeople become obsessive and that's how people getbhirt,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,2,3,10,9,5,6,9,1,1,9,1,6,6,4,10,10,9,8,6,5,6,2,34,1,3,2,,,,,A1VKVBVPK57OD5,civ1
1,2,5,1,1,3,1,7,1,"I think the plaintiff made it very clear that she was NOT into the defendant, she didn't want to date him, but he still pursued her, and harrassed her. In particular approaching her professor, and lying to him, was disturbing (about them being current boyfriend/girlfriend), this is unacceptable.",1,7000,,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,3,2,8,7,10,3,9,1,1,7,1,9,9,6,10,9,6,7,7,1,8,1,61,1,3,2,,,,,APRZ7BR8C0ZMQ,civ1
1,2,5,1,1,3,1,2,2,My ruling was led by the acts of the plaintiff. The plaintiff initially responded and didn't directly tell the defendant to stop necessarily.,2,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,6,6,4,4,6,7,5,1,1,7,1,10,10,10,7,7,2,1,1,7,2,1,32,1,"2,3,8",2,,,,,AZ69TBTDH7AZS,civ1
1,2,5,1,1,3,1,15,1,"Overall, the woman was being stalked. The messages on social media with their pictures, the emails, lurking around where she had classes despite saying it was for other reasons, it's all evidence that would make someone worry for their safety. It's clear he stalked her and was not trying to win her back because a normal person would take a hint, not continue on with uncomfortable actions. ",1,I would award her the full amount she was asking for because this clearly affected her mental health and ability to provide for herself and she needed extra medical help to ensure she would be able to continue to live a normal life despite this trauma. ,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,9,9,2,2,9,1,1,8,2,3,3,4,10,10,6,4,4,2,4,2,30,1,6,2,,,,,AT1O2VEU0T1XY,civ1
1,2,5,1,1,3,1,15,1,The defendant wouldn't take no for an answer despite her consistent refusals and kept love bombing the plaintiff. ,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,9,10,10,1,1,10,9,10,1,10,1,1,10,1,2,2,1,10,10,8,9,8,1,10,2,34,1,3,2,,,,,AKGMI2UI6WZ3A,civ1
1,2,5,1,1,3,1,8,1,"Most of the behavior of Mr. Jones could be chalked up to having a broken heart. However, he crossed the line twice in my opinion: once when Ms. Martin told him to stay away from his old flame, and secondly by showing up like a phantom at the plaintiff's place of work and outside her classroom. A mature, stable individual would not engage in this type of behavior. As I stated, his initial actions were reasonable and understandable, but his later activities were completely unacceptable and easily interpreted as potentially threatening.",1,$500 ,,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,3,2,4,7,9,2,8,1,3,6,2,5,4,4,9,9,6,7,6,3,8,1,55,1,3,2,,,,,A3IVJ1LYCM2HJY,civ1
1,2,5,1,1,3,1,7,1,The defendant failed to stop his behavior when requested by plaintiff and friend. He questioned others about her and were a lot of places where plaintiff was. He had behavior that was obsessive.,1,5000,,,,,,,,,,,,,,,,,,,,,,,,,7,8,8,3,2,7,6,9,2,8,1,5,7,2,4,3,4,9,9,5,7,5,2,6,2,49,1,3,2,,,,,A2TKHXY755FAM,civ1
1,2,5,1,1,3,2,6,1,"That if she wanted his attention after her roommate came by his room, after that, if she came by to me jones, then this would not be a good case. Hmms Klein did not require his attention though after her roommate went to his dorm room so, she did not care for me jones the way he might have like ms Klein.",1,10000,,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,3,9,8,9,7,1,8,3,3,8,7,7,9,8,9,8,4,2,4,4,3,1,51,1,3,2,,,,,A3IXFZZ3JWTCPW,civ1
1,2,5,1,1,3,1,15,1,"There were a lot of red flags from Mr. Jones, and I believe even in his testimony he unwittingly admitted he was in the wrong. Ms. Klein also mentioned he was sending recent photos of her at the mall without her knowing he was taking them. It doesn't matter if someone has a history of violence; that can change quickly. He showed up to her work, and made her uncomfortable. He inquired why she wasn't attending classes or showing up to work, which is incredibly unwell behavior. There may not have been violence, but there's no telling if it could have led to that. The security guard I believe failed at his job or just didn't want to do it; 15 years is too long and he probably just didn't care. She should have went to the police and filed a restraining order and presented all of the evidence. Mr. Jones was obsessed over one person and couldn't move on. He was absolutely stalking her, without question, from the photos, and knowing when she didn't show to certain places, etc. A normal, rational and healthy person would have just moved on instead of hounding someone who was obviously not interested...",1,"I cannot award her a sum without knowing how much therapy she would need, or how much work she missed (assuming six months?), but could have possibly just gotten another job. Asking for heightened security at her dorm was also not really reasonable. I also don't believe she'll have future lost wages; only the wages she lost when she stopped showing up to her job because he was frequenting it with ill intentions. I believe this left out a lot of necessary information. For six months of missing work, and maybe six months of therapy (depending on insurance) I might award $6000, but I'll be honest... nobody sees money in civil cases... I won't award any mental suffering as that would fall under therapy and loss of work.",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,2,3,9,10,2,10,1,1,6,1,1,2,3,10,9,7,6,4,1,5,1,37,1,3,2,,,,,A2IT337ZQ1N5LA,civ1
1,2,5,1,1,1,1,5,1,I can understand why the plaintiff was worried but nothing was explicitly threatened ,1,500,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,4,6,4,10,1,5,3,8,4,5,5,4,4,7,8,6,7,6,7,6,2,46,1,3,2,,,,,A15F2JTVAJXITI,civ1
1,2,5,1,1,3,1,15,1,No one has the right to make another feel fear because they want to be with them.  He has no right to follow her around like that.,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,8,10,8,3,10,2,1,9,3,8,8,9,10,10,6,4,3,1,10,2,58,1,3,2,,,,,A26L91YL0GDGD8,civ1
1,2,5,1,1,3,1,8,1,The defendant continued to contact and follow the plaintiff even after being told to stop. The plaintiff was clearly negatively effected by his actions as evident by missing class and continuingly calling campus security.,1,4000,,,,,,,,,,,,,,,,,,,,,,,,,8,9,8,3,2,5,6,9,1,8,1,3,5,2,5,7,7,10,10,6,6,3,3,8,1,40,1,3,2,,,,,A1ZLY60CGN617T,civ1
1,2,5,2,1,3,1,6,1,"While I do find the plaintiffs actions to be a bit excessive, I don't feel as if they were over the line whereas the defendant was damaged to the point of requiring to be compensated 10,000 for the trouble caused by the defendant.",1,750$,,,,,,,,,,,,,,,,,,,,,,,,,6,8,7,3,5,7,8,9,2,6,3,5,5,4,7,8,8,5,6,4,3,2,4,4,1,32,1,2,2,,,,,A24CNWX2BQA638,civ1
1,2,5,1,1,3,1,15,1,"The plaintiff was being stalked by her ex-boyfriend, and it was causing her a lot of distress. He even admitted that her roommate had told him to leave her alone, but he kept on trying to contact her anyway. It's obvious that he is obsessed with her and can't accept the fact that their relationship is over. ",1,"$10,000 ",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,10,9,10,1,10,1,1,9,1,2,2,2,10,10,8,6,5,1,10,2,62,1,6,2,,,,,AC7QPNOH2LELF,civ1
1,2,5,1,1,3,1,8,1,Mr. Jones continued to make Ms. Klein feel uncomfortable after he was told it was not appropriate by her and her friend. ,1,$250 ,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,1,1,7,7,10,1,5,1,9,5,6,5,5,5,10,10,6,5,4,1,2,1,40,1,1,2,,,,,A3HL2LL0LEPZT8,civ1
1,2,5,1,1,3,1,15,1,"I feel that although the defendant had good intentions when he ontacted the plaintiff in an effort to win her back, once she made it clear that she didnt want to be contacted anymore, all attempts should have ceased.",1,"7,500",,,,,,,,,,,,,,,,,,,,,,,,,8,9,8,1,1,7,8,10,3,9,1,1,5,1,7,8,8,7,8,2,1,1,7,3,1,40,1,2,2,,,,,AMI0SOF51O3FW,civ1
1,1,5,2,1,1,2,8,1,the defendent seemed like he just wouldn't stop harassing her. the emails and the other friend getting involved is what made me make him feel guilty,1,5000,,,,,,,,,,,,,,,,,,,,,,,,,9,8,9,1,9,8,9,9,1,10,1,1,9,1,5,5,4,10,10,8,9,9,1,2,1,46,1,3,2,,,,,A2ZBYVQLDUZOV7,civ1
1,2,5,1,1,3,1,9,1,The plaintiff had made clear that she didn't want to continue contact. The defendant continued pressing contact after he knew this was unwelcome. That is irrational and would make me feel threatened were I in this position. ,1,"10,000",,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,2,2,9,9,10,2,9,2,1,9,2,1,1,1,10,10,8,8,7,1,9,2,64,1,3,1,1,Civil jury re. wrongful death in a medical setting,Found for plaintiff,Civil case divided initally but I was convinced on liability early on,A2BMVYSC8FOCBG,civ1
1,2,5,1,1,3,2,15,1,"I made this ruling because Mr. Jones continued to try and contact Ms. Klein after her roommate told him not to. Ms. Klein had every right to be scared because he continually contacted her, posted pictures of them and followed her.",1,"$10,000 ",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,3,1,9,9,10,3,10,1,1,10,1,2,2,2,10,10,9,10,10,1,10,2,61,1,3,1,3,Possession of drugs for two juries and criminal sexual conduct for the other time,Defendants were found guilty,Only the one drug case was not unanimous and I thought the defendant was guilty.,APDDA1Y59RHV9,civ1
1,2,5,1,1,2,2,5,2,I rolled in the defendants favor. I felt that he was not doing anything threatening to the plaintiff which would harm her.,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,2,2,3,1,2,3,3,3,2,6,6,4,6,3,4,4,3,3,3,2,54,1,3,1,1,Theft,Guilty ,Guilty,A24B6ZU5F9LAKR,civ1
1,2,5,1,1,3,2,9,1,The thing that puts this over the top for me was when he approached the professor to ask about her health because she missed classes.  That is a disturbing amount of monitoring and behavior.  It does bother me as a father of girls.,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,2,2,7,7,9,1,8,1,7,5,6,7,7,8,10,10,7,4,4,2,9,1,53,1,3,2,,,,,A2GMCWY993EEYE,civ1
1,2,5,1,1,3,1,2,2,"There was no evidence that the defendant had caused any physical danger or harm to the plaintiff. Mr. Parker, security officer for Westernshire University for nearly 15 years, also stated that he had looked into Mr. Jones' file and saw nothing alarming or any history of criminal conduct. Additionally, Plaintiff should have not responded to any of Mr. Jones' emails if she felt her safety was being threatened. Overall, no evidence of potential harm or danger, while I understand the Plaintiff is concerned of Mr. Jones' behavior, she is not entitled to damages, ruling in favor of the defendant.",2,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,6,6,6,5,8,6,7,7,3,6,4,5,8,6,9,5,6,2,4,1,7,3,1,36,1,6,1,6,"robbery, bribery, vandalism, possession, fraud, reckless endangerment/driving","guilty, not guilty, guilty, guilty, not guilty, not guilty",guilty,A29WYPB4EFPY5I,civ1
1,2,5,1,1,3,1,7,1,very good,1,60000,,,,,,,,,,,,,,,,,,,,,,,,,9,8,8,7,9,7,7,9,7,8,7,7,8,7,5,6,5,8,7,8,7,8,6,7,2,39,1,3,2,,,,,AMBZATQDG38V0,civ1
1,2,5,1,1,3,1,9,1,"I am convinced he was stalking her. He approached the professor stating he knew she had missed classes. That shows me a possessive personality. He wanted to make assumptions she was playing hard to get. He kept inferring she really cares when she doesn't. The amount of $10,000 is about fair i think.",1,"I think $10,000 is reasonable in this case. She definitely had some mental anguish, but I feel it wasn't over the top. She was trying to handle him, so that shows she didn't feel totally frightened.",,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,2,2,7,4,6,1,7,1,3,5,5,3,2,3,9,9,2,5,5,1,4,2,61,1,3,2,,,,,A1PAR1TMKFPKQE,civ1
1,1,5,1,1,3,2,15,1,"How he talked about her, he clearly was DELUSIONAL about their relationship and I totally BELIEVE that he WAS STALKING her and didn't listen when the roommate told him to STOP sending her roommate emails but he REFUSED and his answers were NOT normal at all.",1,"10,000",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,10,10,10,2,10,1,1,10,1,1,3,1,10,10,10,10,10,1,8,2,65,1,3,2,,,,,A37DJ6J709DRMJ,civ1
1,2,5,1,1,1,1,9,1,"Although Mr. Jones claimed no ill intent, his actions did cause significant distress to Ms. Klein and caused her to have difficulty in her academic and professional pursuits. Lack of physical harm does not mean there was no harm. Further, the security officerâ€™s blowing off the complaints despite the numerous attempts by Ms. Klein to obtain more security seems less like evidence of no problem and more like evidence of a culture which downplays and ignores the experience of the women, particularly in cases where men make women feel uncomfortable or threatened with their actions or words.",1,"$7,500 ",,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,1,1,8,9,9,3,9,1,1,9,3,7,8,6,9,10,7,4,2,7,2,4,34,1,3,1,1,Assault on an Officer (in jail),I do not know because I was dismissed early due to being unwell,N/A (was not present for the verdict),A2IMLVFXBHZEID,civ1
1,2,5,1,1,3,1,2,2,"The defendant took no actions that harmed or threatened the plaintiff.  Actions like posting photographs of them when they were dating are normal behavior. She was fearful, but that was due to her anxiety more than any real threat. He seemed more concerned about her than anything else. ",2,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,9,1,5,8,8,9,1,5,1,1,6,4,9,9,9,2,3,1,1,1,8,1,1,70,1,3,2,,,,,A2JUTTLDE5LGHH,civ1
1,2,5,1,1,3,1,8,1,"he lied when he stated that their paths were simply crossing and he should have stopped his behavior when it was clear that she had no interest in the relationship. Even though he represented no physical threat, the situation would reasonably cause emotional distress.",1,10000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,5,5,10,1,8,1,1,6,1,1,2,2,10,10,3,4,4,3,5,2,63,1,3,2,,,,,A10JXOU89D5RXR,civ1
1,2,5,1,1,3,1,8,1,If she says she is feeling threatened then she is feeling threatened. We have to trust women when they say things before things get really out of hand. She has no reason to lie. There was multiple times and chances that he had to leave her alone and he didnâ€™t take any of them. I do believe she suffers from emotional distress and I do also believe that I would feel the same way if it was me dealing with this.,1,5000,,,,,,,,,,,,,,,,,,,,,,,,,7,10,10,1,1,10,10,10,3,10,1,1,10,1,3,3,3,10,10,8,4,4,6,1,2,37,1,"3,6",2,,,,,A1YYO9SJRZ6LUY,civ1
1,2,5,1,1,3,1,6,1,going to her place of work and not ordering anything and staring at her.   Thats not a public place and he should not of been there without being a paying customer,1,5000,,,,,,,,,,,,,,,,,,,,,,,,,7,8,10,1,10,8,7,10,2,7,2,1,5,5,8,8,9,10,10,3,1,2,3,7,1,46,1,3,1,1,robbery,guilty,none,A3SXLDDJ42IYKN,civ1
1,2,5,1,1,3,1,4,2,This behavior seems annoying but not dangerous. No threats were made and he did not contact her directly.,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,3,4,4,4,10,4,8,1,1,8,1,7,7,7,8,7,3,2,1,4,1,2,46,1,3,2,,,,,A367XLS03MN4ZH,civ1
1,2,5,1,1,3,1,15,1,"He is obsessed with her and if he is not stopped, he might escalate. ",1,"10,000",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,8,8,10,1,10,1,1,9,1,1,1,1,10,10,7,6,6,1,10,1,73,1,3,2,,,,,A2TXC8Q2IFGRXH,civ1
1,2,5,1,1,3,1,15,1,"The defendant acted in a crazed and obsessive behavior that any reasonable person would consider to be unreasonable, if not downright dangerous and scary. I feel he needs to be taught a lesson, if nothing else.",1,5000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,5,5,10,1,10,1,1,9,1,1,1,1,10,10,8,6,6,1,10,1,45,1,3,2,,,,,A2ZW029G7AOF3B,civ1
1,2,5,1,1,3,1,7,1,I think his actions did rise to the level of stalking but I feel as if the amount of damages is too high.,1,"I would award her $5,000 because I do not think she will endure a great amount of future lost wages.",,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,4,4,6,7,9,2,7,1,1,8,2,5,4,5,9,8,5,4,5,3,6,1,34,1,3,1,1,Battery,Not guilty ,Not guilty,A2K4YS0G1U4YAK,civ1
